0.049845	16.160444	1.610592	4.434364	-0.001395
0.168150	22.503611	1.520698	3.419340	-0.004451
0.358765	30.609601	1.445890	2.418836	-0.008821
0.575474	39.114987	1.454624	1.500512	-0.013077
0.767811	39.155452	1.519507	0.740288	-0.015893
0.905646	38.484214	1.585504	0.189048	-0.015573
0.992285	37.581935	1.610420	0.130931	-0.008426
1.622784	36.902892	6.025461	0.058718	-0.048291
0.042591	18.343182	3.392567	2.110308	-0.001010
0.030698	21.580502	2.356050	2.790384	-0.000719
0.019221	22.090680	2.580535	2.524199	-0.000453
0.010826	20.050419	3.020851	1.934638	-0.000260
0.005414	15.682377	3.051960	1.771040	-0.000132
0.003297	10.787106	5.195330	10.225035	-0.000081
0.002447	5.903965	4.573122	9.739284	-0.000060
0.001904	3.626231	3.001710	6.885436	-0.000045
0.001824	2.762269	2.415130	5.792070	-0.000043
0.003784	2.911599	2.747353	5.627463	-0.000099
0.019955	5.970181	2.940761	5.032036	-0.000557
0.075408	12.170289	2.516666	4.531649	-0.002012
0.184112	20.151747	2.297194	3.734530	-0.004654
0.332313	28.647195	2.249398	2.884941	-0.008052
0.489457	32.205758	2.292028	2.124437	-0.011496
0.626432	32.288899	2.359485	1.530284	-0.013889
0.730763	31.814260	2.417914	1.130575	-0.012622
1.129773	31.295691	5.416858	1.251814	-0.034088
0.022508	17.594072	3.376931	2.057051	-0.000542
0.015563	20.693818	2.612370	2.749118	-0.000374
0.008851	20.936380	2.799832	2.428753	-0.000216
0.004285	17.905293	3.476240	2.118322	-0.000106
0.001598	11.411585	3.611417	8.289762	-0.000041
0.008793	1.454376	2.727650	3.328574	-0.000259
0.040885	5.311546	2.233077	4.482942	-0.001094
0.111623	11.470261	2.219295	4.033270	-0.002898
0.218220	18.546969	2.298566	3.366733	-0.005633
0.341230	22.756454	2.410335	2.697957	-0.008908
0.453683	23.494125	2.517009	2.123096	-0.011859
0.531124	23.413718	2.615740	1.670142	-0.012572
0.693148	23.048631	4.356336	1.700624	-0.021473
0.010066	16.307098	3.232632	1.981730	-0.000253
0.006631	19.743201	2.613613	2.572242	-0.000166
0.003395	19.767718	2.565462	1.964622	-0.000086
0.001370	16.084920	2.821336	1.042196	-0.000035
0.000408	9.139727	3.920477	7.132139	-0.000010
